,sna,tot,sbi,sarea,mday,ar,bemp,act
506,YouBike2.0_郵政博物館,20,5,中正區,2023-06-10 14:12:14,重慶南路二段45號前方(郵政博物館前),15,1
509,YouBike2.0_天津北平路口,15,1,中正區,2023-06-10 14:10:09,天津街1號對側人行道,14,1
511,YouBike2.0_捷運忠孝新生站(5號出口),13,5,中正區,2023-06-10 14:06:15,新生南路一段56號前方,8,1
512,YouBike2.0_捷運臺大醫院站(1號出口),19,0,中正區,2023-06-10 13:47:03,公園路/常德街口(西側),19,1
514,YouBike2.0_林森濟南路口(東北側),15,4,中正區,2023-06-10 14:09:14,林森南路/濟南路一段口(東北側),11,1
517,YouBike2.0_立法院台北會館,15,0,中正區,2023-06-10 14:14:04,博愛路217號旁,14,1
518,YouBike2.0_捷運善導寺站(3號出口)(忠孝東路側),17,0,中正區,2023-06-10 14:12:03,忠孝東路一段/林森南路口,16,1
522,YouBike2.0_仁愛金山路口(東南側),14,2,中正區,2023-06-10 13:23:14,仁愛路二段48-4號前,12,1
524,YouBike2.0_重慶南詔安街口,15,4,中正區,2023-06-10 13:28:14,重慶南路三段/詔安街,11,1
525,YouBike2.0_文光公園,17,4,中正區,2023-06-10 14:05:15,仁愛路二段65巷4號對側,13,1
526,YouBike2.0_捷運中正紀念堂站(2號出口),12,0,中正區,2023-06-10 14:00:41,羅斯福路一段10號前,12,1
527,YouBike2.0_螢圃里小公園,19,1,中正區,2023-06-10 14:15:15,汀州路二段135號對側,18,1
529,YouBike2.0_通北街65巷口,16,2,中山區,2023-06-10 14:14:14,通北街/通北街65巷口(東北側),14,1
531,YouBike2.0_樂群二堤頂大道口,20,4,中山區,2023-06-10 14:00:54,堤頂大道二段382號(旁),16,1
532,YouBike2.0_劍潭社區,13,4,中山區,2023-06-10 14:15:15,通北街146巷2弄2號(對面公園),9,1
541,YouBike2.0_南京遼寧街口,34,0,中山區,2023-06-10 14:10:09,南京東路三段189號(對面),34,1
543,YouBike2.0_新生長安路口,20,0,中山區,2023-06-10 14:17:28,新生北路一段/長安東路二段交叉口(北側),20,1
